trip_string,counts
Upper East Side-Upper East Side,31507945
Midtown-Midtown,25174399
Upper East Side-Midtown,17202969
Upper West Side-Upper West Side,17087054
Midtown-Upper East Side,16777029
Chelsea-Midtown,9684693
Midtown-Chelsea,8838821
Upper West Side-Upper East Side,8826092
Upper East Side-Upper West Side,8788708
Chelsea-Chelsea,8121696
Upper West Side-Midtown,7411128
Midtown-Upper West Side,6891403
Midtown-Hell's Kitchen,6162190
Hell's Kitchen-Midtown,6123911
Theater District-Midtown,5352056
Midtown-Theater District,5131704
Chelsea-Hell's Kitchen,4879443
Hell's Kitchen-Chelsea,4272968
Hell's Kitchen-Hell's Kitchen,4147005
Murray Hill-Midtown,4115432
Midtown-Murray Hill,3934343
Upper East Side-East Harlem,3734629
Hell's Kitchen-Upper West Side,3693868
Chelsea-Upper East Side,3551152
Upper West Side-Hell's Kitchen,3490757
West Village-Chelsea,3421456
Chelsea-West Village,3309348
Midtown-East Village,3045993
Midtown-Kips Bay,3005847
Upper East Side-Chelsea,3000106
East Village-Midtown,2998394
Kips Bay-Midtown,2899302
West Village-Midtown,2847379
LaGuardia Airport-Midtown,2811655
Chelsea-Upper West Side,2737481
Chelsea-Theater District,2687030
Midtown-West Village,2566638
East Village-Chelsea,2423104
Gramercy-Midtown,2389969
Theater District-Chelsea,2380380
Upper West Side-Chelsea,2378854
East Village-East Village,2314842
Midtown-Gramercy,2303022
Chelsea-East Village,2269611
Hell's Kitchen-Upper East Side,2235453
Midtown-Flatiron District,2132499
Midtown-LaGuardia Airport,2118368
Theater District-Upper East Side,2091709
Murray Hill-Upper East Side,2075097
Theater District-Hell's Kitchen,2010624
Midtown-Greenwich Village,1996329
Midtown-Financial District,1990360
Upper East Side-Central Park,1974950
Central Park-Upper East Side,1946871
Upper East Side-Hell's Kitchen,1941304
Theater District-Upper West Side,1898654
Central Park-Midtown,1886009
Upper East Side-Murray Hill,1865141
Chelsea-Murray Hill,1853594
Flatiron District-Midtown,1840069
Upper East Side-Theater District,1838253
Midtown-SoHo,1823751
Greenwich Village-Chelsea,1774325
Upper West Side-Theater District,1769983
Chelsea-SoHo,1753581
Upper West Side-Harlem,1727063
Upper West Side-Morningside Heights,1723497
Hell's Kitchen-Theater District,1689882
SoHo-Midtown,1672404
SoHo-Chelsea,1661149
Chelsea-Greenwich Village,1658590
Greenwich Village-Midtown,1653310
West Village-West Village,1640662
Central Park-Upper West Side,1577079
Financial District-Midtown,1576870
John F. Kennedy International Airport-Midtown,1569418
Gramercy-Chelsea,1550609
Midtown-Central Park,1539523
East Village-Upper East Side,1531196
East Harlem-Upper East Side,1524793
Chelsea-Kips Bay,1453110
Chelsea-Flatiron District,1431336
Murray Hill-Chelsea,1430905
Upper West Side-Central Park,1417366
West Village-East Village,1414470
Chelsea-Gramercy,1363132
Flatiron District-Chelsea,1315211
Upper West Side-East Harlem,1314656
Kips Bay-Chelsea,1310097
Kips Bay-Upper East Side,1283421
East Village-West Village,1276341
Tribeca-Midtown,1267216
West Village-SoHo,1258082
West Village-Hell's Kitchen,1252493
Upper East Side-Kips Bay,1216586
Upper East Side-East Village,1216105
Chelsea-Tribeca,1203568
Midtown-Tribeca,1194312
Tribeca-Chelsea,1180922
Morningside Heights-Upper West Side,1175119
Hell's Kitchen-West Village,1174043
Theater District-Theater District,1156976
East Village-Kips Bay,1145451
SoHo-West Village,1139240
Gramercy-Upper East Side,1133772
Midtown-John F. Kennedy International Airport,1130077
Midtown-East Harlem,1116700
LaGuardia Airport-Upper East Side,1108092
East Harlem-East Harlem,1107353
West Village-Upper East Side,1097621
East Village-Lower East Side,1083800
Greenwich Village-East Village,1076457
Williamsburg-Williamsburg,1075507
Chelsea-Financial District,1067018
Lower East Side-East Village,1060459
East Village-Greenwich Village,1053989
Midtown-Lower East Side,1014292
Kips Bay-East Village,1007491
Harlem-Harlem,996682
East Village-Gramercy,976122
Gramercy-East Village,975990
West Village-Tribeca,946874
Greenwich Village-West Village,944123
Midtown-Battery Park City,908444
West Village-Greenwich Village,906029
Upper East Side-Gramercy,903453
Tribeca-West Village,903282
SoHo-East Village,901375
West Village-Upper West Side,880320
Lower East Side-Midtown,880031
Upper East Side-LaGuardia Airport,878394
East Village-Murray Hill,874691
Upper East Side-Harlem,872721
Financial District-Chelsea,870358
LaGuardia Airport-Upper West Side,842592
LaGuardia Airport-Theater District,842036
East Village-SoHo,833136
Gramercy-Murray Hill,815261
Upper East Side-West Village,811067
Upper East Side-Financial District,805231
Battery Park City-Midtown,804451
East Village-Hell's Kitchen,792847
Chelsea-Lower East Side,790438
Long Island City-Long Island City,766740
Chelsea-Battery Park City,762994
Financial District-Financial District,731734
Flatiron District-Upper East Side,727668
Murray Hill-Hell's Kitchen,727088
Upper East Side-Flatiron District,720174
Lower East Side-Chelsea,719454
Midtown-Harlem,715283
Upper West Side-Washington Heights,713144
Tribeca-SoHo,712951
Murray Hill-East Village,710352
West Village-Theater District,710243
East Harlem-Upper West Side,709140
Kips Bay-Murray Hill,703206
Central Park-Central Park,702034
Lower East Side-Williamsburg,700967
East Village-Financial District,694977
Tribeca-Financial District,692102
Hell's Kitchen-Murray Hill,681456
Upper East Side-Greenwich Village,678993
Hell's Kitchen-East Village,673545
Greenwich Village-Upper East Side,667338
East Village-Upper West Side,658358
Greenwich Village-SoHo,655048
West Village-Financial District,652782
Gramercy-Kips Bay,651611
Battery Park City-Chelsea,645333
Upper West Side-West Village,644777
East Village-Williamsburg,644401
Midtown-Long Island City,644073
Theater District-LaGuardia Airport,639099
Harlem-Upper West Side,635286
John F. Kennedy International Airport-Upper East Side,631658
SoHo-Tribeca,631529
Murray Hill-Theater District,626015
Greenwich Village-Greenwich Village,622306
SoHo-SoHo,621403
Midtown-Astoria,611818
Financial District-East Village,609996
SoHo-Upper East Side,606135
Murray Hill-Upper West Side,605366
Murray Hill-Murray Hill,592499
Financial District-Upper East Side,592311
Theater District-West Village,592184
Theater District-Murray Hill,591854
Murray Hill-Gramercy,591850
Financial District-Tribeca,590112
Tribeca-Tribeca,586718
SoHo-Financial District,586111
NoHo-Midtown,580119
Upper West Side-LaGuardia Airport,579312
Murray Hill-Kips Bay,577236
John F. Kennedy International Airport-Upper West Side,577064
Gramercy-West Village,574468
West Village-Flatiron District,571604
West Village-Lower East Side,570085
Flatiron District-Murray Hill,564276
LaGuardia Airport-Hell's Kitchen,563922
Lower East Side-Upper East Side,549771
Midtown-NoHo,549313
Midtown-Williamsburg,546905
Upper West Side-Murray Hill,546591
West Village-Murray Hill,545827
Upper East Side-SoHo,542133
West Village-Gramercy,541670
LaGuardia Airport-Chelsea,540476
Hell's Kitchen-Harlem,538702
John F. Kennedy International Airport-John F. Kennedy International Airport,538658
John F. Kennedy International Airport-Theater District,538184
trip_string,counts
Stuyvesant Town-Midtown,536659
West Village-Battery Park City,527816
Flatiron District-East Village,526739
Upper East Side-Morningside Heights,519450
NoHo-Chelsea,517372
Kips Bay-Gramercy,516519
Greenwich Village-Hell's Kitchen,511061
East Harlem-Midtown,509326
SoHo-Greenwich Village,503231
Midtown-Stuyvesant Town,501260
SoHo-Hell's Kitchen,501067
SoHo-Lower East Side,493702
Battery Park City-Tribeca,489582
Hell's Kitchen-SoHo,488261
Gramercy-Greenwich Village,486909
Tribeca-East Village,486200
Flatiron District-Hell's Kitchen,484648
Financial District-West Village,479400
East Harlem-Harlem,479015
Financial District-SoHo,475603
Theater District-Financial District,475301
Hell's Kitchen-Financial District,474996
Flatiron District-West Village,472714
East Village-Theater District,471149
Chelsea-Harlem,466877
