,,,Total Trips
Year1Battery Park City-Battery Park City,Battery Park City-Battery Park City,Year1,36811
Year2Battery Park City-Battery Park City,Battery Park City-Battery Park City,Year2,36450
Year3Battery Park City-Battery Park City,Battery Park City-Battery Park City,Year3,50860
Year1Battery Park City-Bedford-Stuyvesant,Battery Park City-Bedford-Stuyvesant,Year1,88
Year2Battery Park City-Bedford-Stuyvesant,Battery Park City-Bedford-Stuyvesant,Year2,59
Year3Battery Park City-Bedford-Stuyvesant,Battery Park City-Bedford-Stuyvesant,Year3,147
Year1Battery Park City-Boerum Hill,Battery Park City-Boerum Hill,Year1,287
Year2Battery Park City-Boerum Hill,Battery Park City-Boerum Hill,Year2,163
Year3Battery Park City-Boerum Hill,Battery Park City-Boerum Hill,Year3,196
Year1Battery Park City-Brooklyn Heights,Battery Park City-Brooklyn Heights,Year1,742
Year2Battery Park City-Brooklyn Heights,Battery Park City-Brooklyn Heights,Year2,435
Year3Battery Park City-Brooklyn Heights,Battery Park City-Brooklyn Heights,Year3,797
Year1Battery Park City-Central Park,Battery Park City-Central Park,Year1,140
Year2Battery Park City-Central Park,Battery Park City-Central Park,Year2,160
Year3Battery Park City-Central Park,Battery Park City-Central Park,Year3,615
Year1Battery Park City-Chelsea,Battery Park City-Chelsea,Year1,21342
Year2Battery Park City-Chelsea,Battery Park City-Chelsea,Year2,22204
Year3Battery Park City-Chelsea,Battery Park City-Chelsea,Year3,34324
Year1Battery Park City-Chinatown,Battery Park City-Chinatown,Year1,2187
Year2Battery Park City-Chinatown,Battery Park City-Chinatown,Year2,2302
Year3Battery Park City-Chinatown,Battery Park City-Chinatown,Year3,3508
Year1Battery Park City-Civic Center,Battery Park City-Civic Center,Year1,5883
Year2Battery Park City-Civic Center,Battery Park City-Civic Center,Year2,6009
Year3Battery Park City-Civic Center,Battery Park City-Civic Center,Year3,7864
Year1Battery Park City-Clinton Hill,Battery Park City-Clinton Hill,Year1,226
Year2Battery Park City-Clinton Hill,Battery Park City-Clinton Hill,Year2,100
Year3Battery Park City-Clinton Hill,Battery Park City-Clinton Hill,Year3,127
Year1Battery Park City-Columbia St,Battery Park City-Columbia St,Year1,38
Year2Battery Park City-Columbia St,Battery Park City-Columbia St,Year2,43
Year3Battery Park City-Columbia St,Battery Park City-Columbia St,Year3,53
Year1Battery Park City-DUMBO,Battery Park City-DUMBO,Year1,259
Year2Battery Park City-DUMBO,Battery Park City-DUMBO,Year2,314
Year3Battery Park City-DUMBO,Battery Park City-DUMBO,Year3,518
Year1Battery Park City-Downtown Brooklyn,Battery Park City-Downtown Brooklyn,Year1,1075
Year2Battery Park City-Downtown Brooklyn,Battery Park City-Downtown Brooklyn,Year2,634
Year3Battery Park City-Downtown Brooklyn,Battery Park City-Downtown Brooklyn,Year3,1055
Year1Battery Park City-East Village,Battery Park City-East Village,Year1,5362
Year2Battery Park City-East Village,Battery Park City-East Village,Year2,4909
Year3Battery Park City-East Village,Battery Park City-East Village,Year3,7290
Year1Battery Park City-Financial District,Battery Park City-Financial District,Year1,29240
Year2Battery Park City-Financial District,Battery Park City-Financial District,Year2,29531
Year3Battery Park City-Financial District,Battery Park City-Financial District,Year3,46150
Year1Battery Park City-Flatiron District,Battery Park City-Flatiron District,Year1,1596
Year2Battery Park City-Flatiron District,Battery Park City-Flatiron District,Year2,1357
Year3Battery Park City-Flatiron District,Battery Park City-Flatiron District,Year3,1881
Year1Battery Park City-Fort Greene,Battery Park City-Fort Greene,Year1,712
Year2Battery Park City-Fort Greene,Battery Park City-Fort Greene,Year2,247
Year3Battery Park City-Fort Greene,Battery Park City-Fort Greene,Year3,405
Year3Battery Park City-Governors Island,Battery Park City-Governors Island,Year3,12
Year1Battery Park City-Gramercy,Battery Park City-Gramercy,Year1,1431
Year2Battery Park City-Gramercy,Battery Park City-Gramercy,Year2,1239
Year3Battery Park City-Gramercy,Battery Park City-Gramercy,Year3,1743
Year3Battery Park City-Greenpoint,Battery Park City-Greenpoint,Year3,48
Year1Battery Park City-Greenwich Village,Battery Park City-Greenwich Village,Year1,6900
Year2Battery Park City-Greenwich Village,Battery Park City-Greenwich Village,Year2,5879
Year3Battery Park City-Greenwich Village,Battery Park City-Greenwich Village,Year3,8617
Year1Battery Park City-Hells Kitchen,Battery Park City-Hells Kitchen,Year1,15102
Year2Battery Park City-Hells Kitchen,Battery Park City-Hells Kitchen,Year2,14368
Year3Battery Park City-Hells Kitchen,Battery Park City-Hells Kitchen,Year3,23333
Year1Battery Park City-Kips Bay,Battery Park City-Kips Bay,Year1,1292
Year2Battery Park City-Kips Bay,Battery Park City-Kips Bay,Year2,1267
Year3Battery Park City-Kips Bay,Battery Park City-Kips Bay,Year3,1369
Year3Battery Park City-Long Island City,Battery Park City-Long Island City,Year3,34
Year1Battery Park City-Lower East Side,Battery Park City-Lower East Side,Year1,3740
Year2Battery Park City-Lower East Side,Battery Park City-Lower East Side,Year2,3403
Year3Battery Park City-Lower East Side,Battery Park City-Lower East Side,Year3,5561
Year1Battery Park City-Midtown,Battery Park City-Midtown,Year1,6199
Year2Battery Park City-Midtown,Battery Park City-Midtown,Year2,5112
Year3Battery Park City-Midtown,Battery Park City-Midtown,Year3,7524
Year1Battery Park City-Murray Hill,Battery Park City-Murray Hill,Year1,1026
Year2Battery Park City-Murray Hill,Battery Park City-Murray Hill,Year2,1191
Year3Battery Park City-Murray Hill,Battery Park City-Murray Hill,Year3,1769
Year1Battery Park City-Navy Yard,Battery Park City-Navy Yard,Year1,9
Year2Battery Park City-Navy Yard,Battery Park City-Navy Yard,Year2,6
Year3Battery Park City-Navy Yard,Battery Park City-Navy Yard,Year3,1
Year1Battery Park City-NoHo,Battery Park City-NoHo,Year1,433
Year2Battery Park City-NoHo,Battery Park City-NoHo,Year2,265
Year3Battery Park City-NoHo,Battery Park City-NoHo,Year3,651
Year1Battery Park City-Nolita,Battery Park City-Nolita,Year1,1761
Year2Battery Park City-Nolita,Battery Park City-Nolita,Year2,1746
Year3Battery Park City-Nolita,Battery Park City-Nolita,Year3,1857
Year1Battery Park City-Park Slope,Battery Park City-Park Slope,Year1,184
Year2Battery Park City-Park Slope,Battery Park City-Park Slope,Year2,136
Year3Battery Park City-Park Slope,Battery Park City-Park Slope,Year3,204
Year1Battery Park City-SoHo,Battery Park City-SoHo,Year1,10275
Year2Battery Park City-SoHo,Battery Park City-SoHo,Year2,9063
Year3Battery Park City-SoHo,Battery Park City-SoHo,Year3,16296
Year1Battery Park City-Stuyvesant Town,Battery Park City-Stuyvesant Town,Year1,1196
Year2Battery Park City-Stuyvesant Town,Battery Park City-Stuyvesant Town,Year2,1042
Year3Battery Park City-Stuyvesant Town,Battery Park City-Stuyvesant Town,Year3,1485
Year3Battery Park City-Sunset Park,Battery Park City-Sunset Park,Year3,2
Year1Battery Park City-Theater District,Battery Park City-Theater District,Year1,1383
Year2Battery Park City-Theater District,Battery Park City-Theater District,Year2,1157
Year3Battery Park City-Theater District,Battery Park City-Theater District,Year3,1614
Year1Battery Park City-Tribeca,Battery Park City-Tribeca,Year1,27898
Year2Battery Park City-Tribeca,Battery Park City-Tribeca,Year2,26781
Year3Battery Park City-Tribeca,Battery Park City-Tribeca,Year3,36504
Year1Battery Park City-Two Bridges,Battery Park City-Two Bridges,Year1,1018
Year2Battery Park City-Two Bridges,Battery Park City-Two Bridges,Year2,855
Year3Battery Park City-Two Bridges,Battery Park City-Two Bridges,Year3,1339
Year1Battery Park City-Upper East Side,Battery Park City-Upper East Side,Year1,100
Year2Battery Park City-Upper East Side,Battery Park City-Upper East Side,Year2,73
Year3Battery Park City-Upper East Side,Battery Park City-Upper East Side,Year3,631
Year1Battery Park City-Upper West Side,Battery Park City-Upper West Side,Year1,1807
Year2Battery Park City-Upper West Side,Battery Park City-Upper West Side,Year2,2900
Year3Battery Park City-Upper West Side,Battery Park City-Upper West Side,Year3,7676
Year1Battery Park City-Vinegar Hill,Battery Park City-Vinegar Hill,Year1,152
Year2Battery Park City-Vinegar Hill,Battery Park City-Vinegar Hill,Year2,78
Year3Battery Park City-Vinegar Hill,Battery Park City-Vinegar Hill,Year3,164
Year1Battery Park City-West Village,Battery Park City-West Village,Year1,23701
Year2Battery Park City-West Village,Battery Park City-West Village,Year2,26373
Year3Battery Park City-West Village,Battery Park City-West Village,Year3,39438
Year1Battery Park City-Williamsburg,Battery Park City-Williamsburg,Year1,399
Year2Battery Park City-Williamsburg,Battery Park City-Williamsburg,Year2,419
Year3Battery Park City-Williamsburg,Battery Park City-Williamsburg,Year3,953
Year1Bedford-Stuyvesant-Battery Park City,Bedford-Stuyvesant-Battery Park City,Year1,114
Year2Bedford-Stuyvesant-Battery Park City,Bedford-Stuyvesant-Battery Park City,Year2,45
Year3Bedford-Stuyvesant-Battery Park City,Bedford-Stuyvesant-Battery Park City,Year3,80
Year1Bedford-Stuyvesant-Bedford-Stuyvesant,Bedford-Stuyvesant-Bedford-Stuyvesant,Year1,7289
Year2Bedford-Stuyvesant-Bedford-Stuyvesant,Bedford-Stuyvesant-Bedford-Stuyvesant,Year2,7017
Year3Bedford-Stuyvesant-Bedford-Stuyvesant,Bedford-Stuyvesant-Bedford-Stuyvesant,Year3,44305
Year1Bedford-Stuyvesant-Boerum Hill,Bedford-Stuyvesant-Boerum Hill,Year1,831
Year2Bedford-Stuyvesant-Boerum Hill,Bedford-Stuyvesant-Boerum Hill,Year2,755
Year3Bedford-Stuyvesant-Boerum Hill,Bedford-Stuyvesant-Boerum Hill,Year3,1424
Year1Bedford-Stuyvesant-Brooklyn Heights,Bedford-Stuyvesant-Brooklyn Heights,Year1,739
Year2Bedford-Stuyvesant-Brooklyn Heights,Bedford-Stuyvesant-Brooklyn Heights,Year2,724
Year3Bedford-Stuyvesant-Brooklyn Heights,Bedford-Stuyvesant-Brooklyn Heights,Year3,2135
Year1Bedford-Stuyvesant-Central Park,Bedford-Stuyvesant-Central Park,Year1,8
Year2Bedford-Stuyvesant-Central Park,Bedford-Stuyvesant-Central Park,Year2,7
Year3Bedford-Stuyvesant-Central Park,Bedford-Stuyvesant-Central Park,Year3,12
Year1Bedford-Stuyvesant-Chelsea,Bedford-Stuyvesant-Chelsea,Year1,701
Year2Bedford-Stuyvesant-Chelsea,Bedford-Stuyvesant-Chelsea,Year2,300
Year3Bedford-Stuyvesant-Chelsea,Bedford-Stuyvesant-Chelsea,Year3,596
Year1Bedford-Stuyvesant-Chinatown,Bedford-Stuyvesant-Chinatown,Year1,277
Year2Bedford-Stuyvesant-Chinatown,Bedford-Stuyvesant-Chinatown,Year2,493
Year3Bedford-Stuyvesant-Chinatown,Bedford-Stuyvesant-Chinatown,Year3,749
Year1Bedford-Stuyvesant-Civic Center,Bedford-Stuyvesant-Civic Center,Year1,335
Year2Bedford-Stuyvesant-Civic Center,Bedford-Stuyvesant-Civic Center,Year2,358
Year3Bedford-Stuyvesant-Civic Center,Bedford-Stuyvesant-Civic Center,Year3,701
Year1Bedford-Stuyvesant-Clinton Hill,Bedford-Stuyvesant-Clinton Hill,Year1,6721
Year2Bedford-Stuyvesant-Clinton Hill,Bedford-Stuyvesant-Clinton Hill,Year2,5364
Year3Bedford-Stuyvesant-Clinton Hill,Bedford-Stuyvesant-Clinton Hill,Year3,11924
Year1Bedford-Stuyvesant-Columbia St,Bedford-Stuyvesant-Columbia St,Year1,122
Year2Bedford-Stuyvesant-Columbia St,Bedford-Stuyvesant-Columbia St,Year2,148
Year3Bedford-Stuyvesant-Columbia St,Bedford-Stuyvesant-Columbia St,Year3,231
Year1Bedford-Stuyvesant-DUMBO,Bedford-Stuyvesant-DUMBO,Year1,501
Year2Bedford-Stuyvesant-DUMBO,Bedford-Stuyvesant-DUMBO,Year2,503
Year3Bedford-Stuyvesant-DUMBO,Bedford-Stuyvesant-DUMBO,Year3,1016
Year1Bedford-Stuyvesant-Downtown Brooklyn,Bedford-Stuyvesant-Downtown Brooklyn,Year1,1892
Year2Bedford-Stuyvesant-Downtown Brooklyn,Bedford-Stuyvesant-Downtown Brooklyn,Year2,2134
Year3Bedford-Stuyvesant-Downtown Brooklyn,Bedford-Stuyvesant-Downtown Brooklyn,Year3,3754
Year1Bedford-Stuyvesant-East Village,Bedford-Stuyvesant-East Village,Year1,943
Year2Bedford-Stuyvesant-East Village,Bedford-Stuyvesant-East Village,Year2,451
Year3Bedford-Stuyvesant-East Village,Bedford-Stuyvesant-East Village,Year3,1364
Year1Bedford-Stuyvesant-Financial District,Bedford-Stuyvesant-Financial District,Year1,488
Year2Bedford-Stuyvesant-Financial District,Bedford-Stuyvesant-Financial District,Year2,419
Year3Bedford-Stuyvesant-Financial District,Bedford-Stuyvesant-Financial District,Year3,1085
Year1Bedford-Stuyvesant-Flatiron District,Bedford-Stuyvesant-Flatiron District,Year1,94
Year2Bedford-Stuyvesant-Flatiron District,Bedford-Stuyvesant-Flatiron District,Year2,68
Year3Bedford-Stuyvesant-Flatiron District,Bedford-Stuyvesant-Flatiron District,Year3,215
Year1Bedford-Stuyvesant-Fort Greene,Bedford-Stuyvesant-Fort Greene,Year1,6548
Year2Bedford-Stuyvesant-Fort Greene,Bedford-Stuyvesant-Fort Greene,Year2,6460
