FY,trip_string,total_trips
Year1,Chelsea-East Village,600896
Year1,Kips Bay-Richmond Hill,541
Year1,Gramercy-Upper West Side,108295
Year1,Murray Hill-SoHo,71016
Year1,Kips Bay-Flatiron District,78801
Year1,Nolita-Upper West Side,20505
Year1,SoHo-Williamsburg,88814
Year1,Carroll Gardens-Clinton Hill,3253
Year1,Flatiron District-Long Island City,10094
Year1,Concourse-University Heights,50
Year1,Little Italy-South Slope,440
Year1,Fort Greene-Greenpoint,4321
Year1,Long Island City-South Slope,465
Year1,East Harlem-Financial District,9598
Year2,SoHo-Chelsea,393351
Year2,Lower East Side-East Village,267963
Year2,John F. Kennedy International Airport-Tribeca,25400
Year2,East Harlem-Upper West Side,155783
Year2,Flatiron District-SoHo,76997
Year2,Gramercy-Gramercy,105288
Year2,Stuyvesant Town-Tribeca,8025
Year2,John F. Kennedy International Airport-Flushing,27777
Year2,Sunnyside-Greenwich Village,1492
Year2,Gramercy-Central Park,15756
Year2,Chelsea-Downtown Brooklyn,24127
Year2,LaGuardia Airport-Vinegar Hill,1179
Year2,NoHo-Greenwich Village,45528
Year2,DUMBO-Williamsburg,5408
Year2,Midtown-Schuylerville,898
Year2,Chinatown-Harlem,4129
Year2,NoHo-Clinton Hill,4735
Year2,Gowanus-Williamsburg,2557
Year0,Upper West Side-Upper West Side,4387786
Year0,Midtown-Gramercy,640222
Year0,Stuyvesant Town-Upper East Side,73204
Year0,Tribeca-DUMBO,7687
Year0,Greenpoint-Downtown Brooklyn,1629
Year0,East Village-Crown Heights,26560
Year0,Chelsea-Brownsville,1232
Year0,LaGuardia Airport-Springfield Gardens,2626
Year0,Chelsea-Flushing,5882
Year0,Upper East Side-Flatbush,3347
Year2,Battery Park City-Gowanus,1224
Year2,Williamsburg-Glendale,1260
Year2,Morningside Heights-Long Island City,878
Year2,Harlem-Long Island City,2229
Year2,Chinatown-LaGuardia Airport,3665
Year2,John F. Kennedy International Airport-Port Morris,384
Year2,Theater District-Tremont,462
Year0,Kips Bay-Civic Center,7059
Year0,Greenpoint-SoHo,2142
Year1,Crown Heights-Upper West Side,577
Year2,Bedford-Stuyvesant-Boerum Hill,1137
Year2,Elmhurst-Sunnyside,3152
Year2,Lower East Side-University Heights,218
Year2,LaGuardia Airport-Flushing Meadows Corona Park,2620
Year1,Cobble Hill-West Village,2890
Year1,East Village-Green-Wood Cemetery,194
Year1,Flatbush-LaGuardia Airport,285
Year0,John F. Kennedy International Airport-Fort Greene,14155
Year1,Greenwich Village-Glendale,492
Year1,Sunset Park-Flatiron District,78
Year1,Sunset Park-Kensington,651
Year3,Prospect Heights-Park Slope,2842
Year3,SoHo-Fort Greene,10540
Year3,Little Italy-Bedford-Stuyvesant,1949
Year3,Harlem-Gramercy,2098
Year3,Fort Greene-Murray Hill,1034
Year3,LaGuardia Airport-Gramercy,37741
Year3,East Village-LaGuardia Airport,36371
Year2,Financial District-Woodhaven,317
Year3,Flushing-Tribeca,26
Year3,John F. Kennedy International Airport-Lower East Side,30978
Year3,East Harlem-Gramercy,6289
Year2,Kips Bay-Flushing Meadows Corona Park,214
Year2,Chelsea-Canarsie,1101
Year0,Boerum Hill-Briarwood,24
Year3,South Ozone Park-Hell's Kitchen,1128
Year3,Downtown Brooklyn-Tribeca,6926
Year3,Brooklyn Heights-Bedford-Stuyvesant,2600
Year0,Flatiron District-Brooklyn Heights,7003
Year3,Williamsburg-Astoria,6759
Year0,NoHo-Windsor Terrace,647
Year0,East Village-Woodhaven,541
Year3,Theater District-Richmond Hill,1223
Year0,Greenwich Village-Springfield Gardens,89
Year2,Morningside Heights-Stuyvesant Town,686
Year1,East Harlem-Van Cortlandt Park,118
Year0,Theater District-Arrochar,40
Year1,Chelsea-Bay Terrace,311
Year3,East Harlem-Melrose,2119
Year2,East Village-Highbridge,703
Year2,Lower East Side-Arverne,13
Year3,Little Italy-Downtown Brooklyn,1506
Year3,Sunnyside-NoHo,342
Year3,Upper East Side-Gowanus,3533
Year2,Clinton Hill-Sunnyside,236
Year3,Port Morris-Upper West Side,330
Year0,Park Slope-Greenwich Village,2190
Year3,Fort Hamilton-West Village,11
Year3,Park Slope-SoHo,1150
Year3,Central Park-Soundview,79
Year3,West Village-Douglaston,51
Year1,East Village-Riverdale,497
Year3,Long Island City-Sunset Park,461
Year0,Jackson Heights-Upper East Side,1248
Year3,Jackson Heights-East Harlem,351
Year0,Bedford-Stuyvesant-Upper West Side,620
Year1,Jamaica-Civic Center,52
Year3,Red Hook-Chelsea,202
Year3,Upper West Side-Williamsbridge,371
Year1,Vinegar Hill-Central Park,20
Year2,Vinegar Hill-Financial District,189
Year2,Central Park-Bay Ridge,226
Year0,DUMBO-Ditmars Steinway,255
Year0,Murray Hill-Prospect Park,592
Year2,Astoria-Briarwood,394
Year3,Gramercy-Eastchester,66
Year2,Astoria-Whitestone,417
Year0,Murray Hill-Williamsbridge,82
Year1,Downtown Brooklyn-Borough Park,525
Year3,Theater District-University Heights,583
Year3,Financial District-Kew Gardens Hills,373
Year0,Two Bridges-Greenwich Village,772
Year2,Astoria-Chinatown,408
Year1,Chelsea-Manhattan Beach,146
Year3,Brighton Beach-Financial District,12
Year2,Jackson Heights-East Harlem,416
Year2,Woodside-Roosevelt Island,120
Year2,East Village-Allerton,319
Year3,Morris Heights-Soundview,18
Year1,Nolita-Longwood,115
Year3,South Ozone Park-East New York,88
Year2,Morningside Heights-Mount Eden,168
Year1,Gramercy-Fresh Meadows,135
Year0,Parkchester-West Farms,81
Year3,Clinton Hill-Maspeth,55
Year2,Allerton-Fordham,64
Year1,Port Morris-Sunnyside,57
Year1,Bay Ridge-Upper East Side,83
Year1,Greenwich Village-Kew Gardens Hills,302
Year1,Bedford-Stuyvesant-Two Bridges,72
Year3,Prospect Heights-Canarsie,120
Year0,Red Hook-Central Park,24
Year2,Columbia St-Sunset Park,171
Year2,Bay Terrace-Sunnyside,3
Year0,Cypress Hills-Tribeca,36
Year3,Williamsbridge-Williamsbridge,135
Year3,Morningside Heights-Morris Park,85
Year1,Astoria-Westchester Square,65
Year1,Sunset Park-Bensonhurst,182
Year2,Kips Bay-Glendale,355
Year1,Upper East Side-Country Club,370
Year0,Kips Bay-Allerton,209
Year2,Stuyvesant Town-East Flatbush,160
Year1,Forest Hills-Battery Park City,166
Year0,South Ozone Park-Kips Bay,300
Year2,Financial District-Floyd Bennett Field,26
Year3,Ditmars Steinway-Mount Eden,23
Year3,Flushing-Flatiron District,11
Year0,Downtown Brooklyn-Concourse,70
Year2,Concourse Village-Bronxdale,17
Year3,Central Park-Allerton,61
Year0,Vinegar Hill-Civic Center,62
Year1,Springfield Gardens-Corona,1
Year2,Sunset Park-Greenwich Village,94
Year3,Murray Hill-Olinville,23
Year1,Nolita-Woodlawn,31
Year3,Chinatown-Plum Beach,1
Year0,LaGuardia Airport-Howard Beach,877
Year3,Forest Hills-College Point,75
Year3,Bay Ridge-Midtown,65
Year0,Jackson Heights-John F. Kennedy International Airport,426
Year0,West Village-Woodhaven,350
Year2,Elmhurst-East Harlem,444
Year1,Morris Park-Sunset Park,1
Year3,Inwood-Pelham Gardens,10
Year1,Williamsburg-Randall's Island,162
Year3,Midwood-Flatlands,91
Year1,Sheepshead Bay-Borough Park,35
Year1,Ditmars Steinway-Fordham,81
Year1,Spuyten Duyvil-Murray Hill,2
Year1,Brighton Beach-John F. Kennedy International Airport,29
Year2,Elmhurst-Nolita,40
Year2,West Village-Morris Park,249
Year3,Crown Heights-Jamaica Estates,6
Year0,Longwood-Fordham,49
Year0,Inwood-East Village,166
Year0,Kew Gardens Hills-Jamaica Estates,64
Year3,Long Island City-Melrose,92
Year1,College Point-Whitestone,17
Year1,Chinatown-Fordham,96
Year2,South Ozone Park-Gravesend,14
Year1,Marine Park-Brighton Beach,6
Year0,Bushwick-Bensonhurst,18
Year3,Bay Ridge-Elmhurst,4
Year0,Long Island City-Unionport,60
Year1,Greenpoint-Flushing,300
